,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
385,katherine,-14.47,132.27,75.2,44,19,4.7,AU,1599761672
386,luwuk,-0.95,122.79,77.27,79,62,4.94,ID,1599761672
387,levelland,33.59,-102.38,51.01,76,90,6.93,US,1599761672
388,verkhnyaya inta,65.98,60.31,52.25,81,98,13.69,RU,1599761673
389,surgut,61.25,73.42,60.8,77,73,6.71,RU,1599761673
390,cap malheureux,-19.98,57.61,72.0,80,59,10.0,MU,1599761673
391,constantine,36.37,6.61,71.6,68,40,13.87,DZ,1599761673
392,innisfail,-17.53,146.03,64.4,86,17,3.04,AU,1599761674
393,smithers,54.78,-127.17,57.2,76,20,3.36,CA,1599761674
394,concordia,-31.39,-58.02,73.4,53,1,12.75,AR,1599761674
395,oyek,52.59,104.46,48.2,87,75,11.18,RU,1599761674
396,alugan,12.22,125.48,76.57,88,85,4.83,PH,1599761094
397,birin,26.89,88.07,64.44,100,81,2.51,NP,1599761628
398,jinchang,38.5,102.17,65.77,52,100,4.65,CN,1599761098
399,teguldet,57.31,88.17,41.7,95,7,2.15,RU,1599761675
400,tiznit,29.58,-9.5,76.55,53,0,7.78,MA,1599761675
401,axim,4.87,-2.24,76.73,86,77,7.38,GH,1599761132
402,grand gaube,-20.01,57.66,72.0,80,69,7.0,MU,1599761094
403,sakakah,29.97,40.21,98.6,7,64,9.17,SA,1599761139
404,chiredzi,-21.05,31.67,71.35,43,18,6.91,ZW,1599761676
405,potosi,-19.58,-65.75,57.33,36,100,11.05,BO,1599761479
406,demba,-5.51,22.27,79.05,47,67,1.3,CD,1599761676
407,pimentel,-6.84,-79.93,64.4,77,90,10.29,PE,1599761677
408,iaciara,-14.1,-46.63,97.09,13,6,7.38,BR,1599761677
409,santa cruz,-17.8,-63.17,93.2,34,0,8.05,BO,1599761676
410,saint-augustin,51.23,-58.65,53.26,69,100,5.68,CA,1599761677
411,kailua,21.4,-157.74,78.8,65,20,8.05,US,1599761677
412,sao jose da coroa grande,-8.9,-35.15,78.24,75,12,13.8,BR,1599761678
413,kangaatsiaq,68.31,-53.46,38.01,76,77,5.21,GL,1599761678
414,hobyo,5.35,48.53,77.63,82,1,27.34,SO,1599761678
415,biloela,-24.42,150.5,58.23,81,46,8.79,AU,1599761678
416,guiratinga,-16.35,-53.76,102.65,11,47,6.17,BR,1599761679
417,norman wells,65.28,-126.83,44.6,100,90,8.05,CA,1599761679
418,mizdah,31.45,12.98,86.09,32,20,9.89,LY,1599761679
419,williston,48.15,-103.62,71.01,38,0,3.0,US,1599761679
420,san andres,12.58,-81.7,87.8,70,40,6.93,CO,1599761440
421,muisne,0.6,-80.03,82.4,83,75,9.17,EC,1599761680
422,taltal,-25.4,-70.48,62.33,62,50,4.03,CL,1599761645
423,mehamn,71.04,27.85,48.2,87,75,1.12,NO,1599761666
424,xining,36.62,101.77,55.18,67,96,4.9,CN,1599760878
425,sao felix do xingu,-6.64,-51.99,103.89,18,23,5.59,BR,1599761135
426,nampula,-15.12,39.27,75.0,64,20,12.75,MZ,1599761515
427,kirakira,-10.45,161.92,75.51,78,90,7.11,SB,1599761680
428,pozo colorado,-23.49,-58.8,101.98,20,47,6.17,PY,1599761681
429,mombasa,-4.05,39.66,77.0,83,20,5.82,KE,1599761604
430,barra do garcas,-15.89,-52.26,102.2,16,20,6.93,BR,1599761681
431,sinnamary,5.38,-52.95,86.92,63,9,14.27,GF,1599761669
432,ukiah,39.15,-123.21,57.2,71,90,5.5,US,1599760948
433,perni,41.0,24.64,78.01,65,0,4.7,GR,1599761682
434,tongren,27.72,109.19,69.89,87,94,3.04,CN,1599761682
435,bogorodskoye,56.55,37.88,51.1,88,36,11.88,RU,1599761682
436,berlevag,70.86,29.09,46.4,93,68,4.7,NO,1599761682
437,auki,-8.77,160.7,75.7,85,58,4.05,SB,1599761683
438,cabo san lucas,22.89,-109.91,88.0,74,5,9.17,MX,1599761657
439,christchurch,-43.53,172.63,43.0,87,63,14.99,NZ,1599761552
440,litovko,49.24,135.17,46.74,83,0,7.29,RU,1599761683
441,padang,-0.95,100.35,75.45,79,90,3.06,ID,1599761107
442,qatana,33.44,36.08,89.6,13,40,3.36,SY,1599761683
443,avera,33.19,-82.53,87.8,66,75,5.82,US,1599761684
444,oranjemund,-28.55,16.43,59.43,82,1,8.79,NA,1599761684
445,angoche,-16.23,39.91,73.54,80,12,10.74,MZ,1599761684
446,ust-uda,54.17,103.03,46.72,84,89,7.38,RU,1599761684
447,sao miguel do araguaia,-13.28,-50.16,102.7,12,24,6.82,BR,1599761685
448,umm lajj,25.02,37.27,85.08,80,0,1.81,SA,1599761096
449,luba,3.46,8.55,78.8,88,40,10.29,GQ,1599761685
450,celestun,20.87,-90.4,89.46,61,1,9.17,MX,1599761685
451,beyla,8.68,-8.63,71.38,93,94,6.91,GN,1599761686
452,isabela,6.71,121.97,78.87,82,100,2.24,PH,1599761686
453,ambagarh chauki,20.78,80.72,76.35,91,97,6.13,IN,1599761686
454,mangrol,21.12,70.12,81.34,81,96,9.28,IN,1599761686
455,xifeng,42.74,124.72,56.88,92,100,4.29,CN,1599761687
456,lobito,-12.35,13.55,72.07,84,8,3.0,AO,1599761687
457,reyes,-14.32,-67.38,93.2,52,12,4.5,BO,1599761687
458,manavgat,36.79,31.44,84.2,48,0,4.7,TR,1599761687
459,nishihara,26.18,127.76,80.6,94,40,4.7,JP,1599761688
460,mathbaria,22.29,89.96,81.54,85,100,6.64,BD,1599761688
461,broome,42.25,-75.83,84.0,65,40,6.93,US,1599761675
462,winslow,35.02,-110.7,53.6,46,1,8.05,US,1599761509
463,las vegas,36.17,-115.14,77.0,15,1,5.1,US,1599761394
464,bubaque,11.28,-15.83,79.18,85,96,7.2,GW,1599761688
465,northam,51.03,-4.22,60.01,79,24,1.99,GB,1599761680
466,wajima,37.4,136.9,74.84,83,78,5.46,JP,1599761137
467,lengshuitan,26.41,111.6,72.57,91,76,4.7,CN,1599761689
468,constitucion,-35.33,-72.42,58.8,73,79,5.61,CL,1599761689
469,nago,26.59,127.98,80.6,94,1,4.7,JP,1599761689
470,aswan,24.09,32.91,96.28,17,0,10.02,EG,1599761689
471,ust-nera,64.57,143.2,37.45,76,9,1.32,RU,1599761133
472,halifax,44.65,-63.57,75.0,100,92,5.99,CA,1599761584
473,prieska,-29.66,22.75,78.75,17,0,4.16,ZA,1599761690
474,rawson,-43.3,-65.1,66.56,29,94,21.45,AR,1599761660
475,bobcaygeon,44.55,-78.54,66.99,77,75,10.29,CA,1599761690
476,dillon,34.42,-79.37,84.99,78,75,4.7,US,1599761582
477,quang ngai,15.12,108.8,77.29,89,91,5.61,VN,1599761691
478,songea,-10.68,35.65,71.6,46,20,3.36,TZ,1599761691
479,novopokrovka,49.84,36.55,69.8,43,11,6.71,UA,1599761691
480,tarakan,3.3,117.63,82.04,78,62,5.37,ID,1599761691
481,zhigansk,66.77,123.37,47.07,66,100,6.62,RU,1599761692
482,port antonio,18.18,-76.46,88.0,70,20,12.75,JM,1599761537
483,santiago de cao,-7.96,-79.24,63.12,78,91,12.26,PE,1599761692
484,general pico,-35.66,-63.76,78.22,45,0,15.32,AR,1599761538
485,leh,34.17,77.58,55.65,31,0,2.95,IN,1599761692
486,isla mujeres,21.23,-86.73,87.8,70,75,9.17,MX,1599761693
487,anjiang,27.32,110.1,71.24,91,58,2.84,CN,1599761693
488,gornopravdinsk,60.05,69.9,54.37,73,98,7.34,RU,1599761693
489,khani,41.96,42.96,71.6,94,0,2.24,GE,1599761693
490,peachtree city,33.4,-84.6,82.99,69,90,5.82,US,1599761663
491,zomin,39.96,68.4,68.02,24,0,4.36,UZ,1599761694
492,anadyr,64.75,177.48,48.2,87,40,8.95,RU,1599761694
493,campbellton,48.01,-66.67,55.58,94,100,2.71,CA,1599761517
494,sungaipenuh,-2.08,101.38,64.63,93,100,1.63,ID,1599761694
495,dukat,62.55,155.55,32.31,97,6,7.25,RU,1599761695
496,xuddur,4.12,43.89,81.28,49,27,14.7,SO,1599761695
497,ketchikan,55.34,-131.65,62.6,82,5,8.05,US,1599761695
498,vaitape,-16.52,-151.75,78.94,73,6,12.1,PF,1599761695
499,bandarbeyla,9.49,50.81,78.26,76,36,25.64,SO,1599761695
500,manta,-0.95,-80.73,80.6,69,40,8.05,EC,1599761696
501,korla,41.76,86.15,72.39,28,67,15.68,CN,1599761696
502,kaspiyskiy,45.39,47.37,69.42,44,0,1.12,RU,1599761696
503,manono,-7.3,27.42,80.46,27,97,4.79,CD,1599761696
504,toro,4.61,-76.08,82.4,58,40,9.17,CO,1599761697
505,klisura,42.7,24.45,77.0,47,5,4.7,BG,1599761697
506,mackenzie,55.3,-123.17,64.4,63,1,9.17,CA,1599761697
507,tilichiki,60.47,166.1,38.44,96,35,7.05,RU,1599761113
508,guamuchil,25.47,-108.1,93.0,65,1,3.0,MX,1599761697
509,lampa,-33.28,-70.9,69.01,48,1,10.29,CL,1599761698
510,ossora,59.24,163.07,46.22,85,82,5.68,RU,1599761629
511,cape coast,5.11,-1.25,76.1,87,42,9.95,GH,1599761401
512,freeport,40.66,-73.58,84.99,78,20,9.17,US,1599761581
513,brae,60.4,-1.35,53.6,81,40,17.22,GB,1599761668
514,kuzovatovo,53.55,47.69,54.66,68,82,7.87,RU,1599761698
515,el cope,8.62,-80.6,86.0,70,20,10.29,PA,1599761699
516,dilla,6.41,38.31,61.92,73,57,6.06,ET,1599761699
517,okhotsk,59.38,143.3,46.67,62,17,8.08,RU,1599761699
518,santiago de compostela,42.88,-8.55,82.99,57,88,4.7,ES,1599761699
519,port-cartier,50.03,-66.87,48.2,93,90,6.93,CA,1599761699
520,marawi,8.0,124.29,73.99,90,92,5.99,PH,1599761685
521,mahajanga,-15.72,46.32,80.6,57,51,5.82,MG,1599761700
522,fort saint james,54.43,-124.25,68.85,49,1,0.92,CA,1599761700
523,manica,49.0,-1.17,64.4,82,75,10.29,FR,1599761700
524,mana,5.66,-53.78,87.08,64,32,11.52,GF,1599761701
525,port-gentil,-0.72,8.78,78.8,78,20,11.95,GA,1599761630
526,cayenne,4.93,-52.33,89.6,62,75,9.17,GF,1599761429
527,amapa,1.0,-52.0,96.04,37,22,6.2,BR,1599761588
528,loanda,-8.84,13.23,73.4,83,20,4.7,AO,1599761402
529,havoysund,71.0,24.66,50.0,81,40,1.12,NO,1599761618
530,tampakan,6.44,124.93,75.63,84,100,1.83,PH,1599761702
531,kholtoson,50.3,103.31,48.38,89,100,3.47,RU,1599761703
532,la ligua,-32.45,-71.23,71.6,68,0,10.29,CL,1599761703
533,raudeberg,61.99,5.14,50.0,75,100,23.47,NO,1599761697
534,santa maria,-29.68,-53.81,75.2,57,7,8.05,BR,1599761699
535,bosaso,11.28,49.18,91.71,49,54,0.65,SO,1599761657
536,agadez,19.75,10.25,98.17,9,0,9.01,NE,1599761704
537,paamiut,61.99,-49.67,40.17,75,28,25.05,GL,1599761643
538,shakiso,5.75,38.92,58.46,73,25,0.74,ET,1599761704
539,verkhoyansk,67.54,133.38,41.65,69,5,1.95,RU,1599761705
540,los llanos de aridane,28.66,-17.92,79.0,78,20,17.22,ES,1599761705
541,bonoua,5.27,-3.6,78.8,88,20,10.29,CI,1599761706
