,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,makakilo city,21.35,-158.09,77.0,69,1,3.36,US,1599761623
138,kaitangata,-46.28,169.85,42.01,70,53,5.66,NZ,1599761131
139,kemijarvi,66.71,27.43,45.46,88,100,4.56,FI,1599761623
140,kosa,59.94,55.0,49.95,87,64,7.85,RU,1599761623
141,turkistan,43.0,68.0,69.85,26,71,9.84,KZ,1599761624
142,pitimbu,-7.47,-34.81,82.4,65,40,19.46,BR,1599761059
143,thompson,55.74,-97.86,53.6,58,75,14.99,CA,1599760804
144,fort nelson,58.81,-122.7,51.8,100,90,1.14,CA,1599761624
145,paraiso,9.84,-83.87,82.4,51,75,9.17,CR,1599761624
146,tuy hoa,13.08,109.3,77.88,87,66,5.14,VN,1599761625
147,palotina,-24.28,-53.84,96.8,32,20,11.41,BR,1599761625
148,sorland,67.67,12.69,48.2,76,75,26.4,NO,1599761625
149,san patricio,19.22,-104.7,91.4,70,40,9.17,MX,1599761097
150,poum,-20.23,164.02,71.08,75,11,18.68,NC,1599761625
151,cape town,-33.93,18.42,62.01,72,88,12.75,ZA,1599761415
152,shingu,33.73,135.98,72.9,90,51,3.6,JP,1599761626
153,bobo dioulasso,11.18,-4.3,77.0,83,40,6.93,BF,1599761626
154,akyab,20.15,92.9,81.5,82,89,3.91,MM,1599761424
155,dikson,73.51,80.55,44.08,100,100,19.35,RU,1599761033
156,port elizabeth,-33.92,25.57,60.01,93,98,1.99,ZA,1599761402
157,ilulissat,69.22,-51.1,37.4,59,75,3.36,GL,1599761048
158,longyearbyen,78.22,15.64,44.6,81,75,17.22,SJ,1599761061
159,burnie,-41.07,145.92,51.01,80,100,1.99,AU,1599761627
160,pueblo nuevo,23.38,-105.38,73.33,75,28,4.36,MX,1599761627
161,kutum,14.2,24.67,81.23,44,69,16.8,SD,1599761628
162,tessalit,20.2,1.01,103.39,9,6,7.74,ML,1599761034
163,hambantota,6.12,81.12,80.01,81,92,18.68,LK,1599761085
164,isangel,-19.55,169.27,69.15,82,10,14.23,VU,1599761049
165,byron bay,-28.65,153.62,60.8,87,75,14.99,AU,1599761628
166,vila franca do campo,37.72,-25.43,71.6,83,40,5.82,PT,1599761096
167,midland,32.0,-102.08,51.8,76,90,6.93,US,1599761521
168,codrington,-38.27,141.97,55.99,69,98,11.01,AU,1599761060
169,olga,43.74,135.29,59.59,88,100,9.84,RU,1599761629
170,redcar,54.62,-1.06,55.99,68,98,5.99,GB,1599761629
171,fortuna,40.6,-124.16,53.6,100,75,3.36,US,1599761606
172,husavik,66.04,-17.34,50.0,87,90,3.36,IS,1599761056
173,iisalmi,63.56,27.19,50.0,87,20,14.99,FI,1599761630
174,saint anthony,45.02,-93.22,55.99,71,20,2.17,US,1599761125
175,mabaruma,8.2,-59.78,92.03,53,71,4.56,GY,1599761630
176,savannah bight,16.45,-85.85,84.54,79,5,14.32,HN,1599761630
177,ahipara,-35.17,173.17,51.53,76,82,10.38,NZ,1599761075
178,nantucket,41.28,-70.1,73.4,94,90,5.82,US,1599761457
179,maryville,35.76,-83.97,86.0,62,75,2.95,US,1599761602
180,shache,38.42,77.24,69.94,27,32,6.53,CN,1599761631
181,rock sound,24.9,-76.2,84.96,71,51,8.01,BS,1599761631
182,bengkulu,-3.8,102.27,74.86,88,99,5.59,ID,1599761068
183,samarai,-10.62,150.67,75.99,82,39,15.19,PG,1599761632
184,yellowknife,62.46,-114.35,54.0,71,75,10.29,CA,1599760808
185,oxapampa,-10.58,-75.4,74.12,47,33,4.65,PE,1599761632
186,luanda,-8.84,13.23,73.4,83,20,4.7,AO,1599760812
187,longyan,25.11,117.02,72.66,87,100,1.99,CN,1599761632
188,port shepstone,-30.74,30.45,65.97,74,99,14.56,ZA,1599761633
189,narsaq,60.92,-46.05,48.2,39,20,5.82,GL,1599761084
190,abbeville,50.1,1.83,68.0,73,41,6.96,FR,1599761633
191,saskylakh,71.92,114.08,45.97,86,94,5.75,RU,1599761034
192,cedar city,37.68,-113.06,55.4,30,1,4.7,US,1599761632
193,manzhouli,49.6,117.43,52.38,76,100,5.64,CN,1599761633
194,sorong,-0.88,131.25,78.57,85,100,6.73,ID,1599761111
195,vila velha,-20.33,-40.29,82.4,58,83,16.11,BR,1599761117
196,sioux lookout,50.1,-91.92,55.4,58,75,9.17,CA,1599760842
197,buala,-8.14,159.59,78.1,80,56,2.01,SB,1599761634
198,cherskiy,68.75,161.3,38.35,86,7,2.75,RU,1599761604
199,yining,29.04,114.56,67.37,93,72,1.72,CN,1599761068
200,sao joao da barra,-21.64,-41.05,84.2,51,61,17.22,BR,1599760847
201,sarana,56.48,57.73,49.28,93,80,5.73,RU,1599761635
202,yulara,-25.24,130.99,68.0,28,0,1.12,AU,1599761635
203,sokolo,14.73,-6.12,92.5,47,53,8.28,ML,1599761635
204,san cristobal,7.77,-72.22,89.6,49,40,6.93,VE,1599761042
205,margate,51.38,1.39,64.0,61,47,3.76,GB,1599760985
206,gladstone,-23.85,151.25,64.4,68,22,8.05,AU,1599761636
207,gazli,40.13,63.45,69.57,23,0,9.55,UZ,1599761636
208,talpa,28.83,-111.63,93.99,24,0,1.99,MX,1599761636
209,katsuura,35.13,140.3,80.6,88,20,8.05,JP,1599761076
210,erzin,36.96,36.2,89.01,56,0,2.8,TR,1599761637
211,krasnovishersk,60.41,57.08,48.63,95,25,6.98,RU,1599761637
212,laguna,38.42,-121.42,69.01,72,1,1.95,US,1599761057
213,muros,42.78,-9.06,75.0,65,98,1.01,ES,1599761617
214,kununurra,-15.77,128.73,68.0,72,19,5.57,AU,1599761100
215,klaksvik,62.23,-6.59,50.0,100,100,14.99,FO,1599761637
216,swellendam,-34.02,20.44,59.0,82,98,14.99,ZA,1599761638
217,tutoia,-2.76,-42.27,83.66,68,27,14.9,BR,1599761108
218,honiara,-9.43,159.95,76.28,80,64,4.25,SB,1599761638
219,gat,31.61,34.76,84.99,77,0,2.35,IL,1599761636
220,pacifica,37.61,-122.49,64.0,82,90,3.36,US,1599761638
221,shimoda,34.67,138.95,72.0,91,10,2.04,JP,1599761639
222,dunedin,-45.87,170.5,44.01,72,83,4.0,NZ,1599761639
223,dongsheng,39.82,109.98,55.78,57,0,6.67,CN,1599761639
224,khilok,51.37,110.47,53.64,87,39,4.21,RU,1599761639
225,lasa,46.62,10.7,60.8,77,75,5.82,IT,1599761640
226,chicama,-7.84,-79.15,70.48,59,53,11.05,PE,1599761603
227,pevek,69.7,170.31,42.06,93,100,8.46,RU,1599761058
228,fairbanks,64.84,-147.72,41.0,93,90,6.93,US,1599761403
229,port hedland,-20.32,118.57,69.8,94,0,4.7,AU,1599761640
230,nanortalik,60.14,-45.24,41.68,66,0,40.13,GL,1599761045
231,pacific grove,36.62,-121.92,61.0,93,0,6.4,US,1599761489
232,heihe,50.24,127.49,44.6,93,0,4.92,CN,1599761641
233,port blair,11.67,92.75,80.78,85,100,10.0,IN,1599761065
234,barra velha,-26.63,-48.68,84.0,78,20,13.87,BR,1599761641
235,iqaluit,63.75,-68.51,39.2,60,90,9.17,CA,1599761544
236,nemetker,46.72,18.76,72.0,60,44,1.99,HU,1599761641
237,podor,16.65,-14.96,96.8,56,26,2.24,MR,1599761642
238,kamenka,51.32,42.77,62.4,52,44,9.4,RU,1599761642
239,naze,28.37,129.48,80.6,94,75,5.82,JP,1599761067
240,asau,46.43,26.4,64.0,75,0,4.81,RO,1599761069
241,cabedelo,-6.98,-34.83,82.4,65,40,19.46,BR,1599761642
242,sao filipe,14.9,-24.5,80.94,82,72,12.12,CV,1599761643
243,deputatskiy,69.3,139.9,34.59,87,0,0.83,RU,1599761529
244,pallapatti,11.66,78.13,75.99,82,94,3.2,IN,1599761643
245,sena madureira,-9.07,-68.66,102.63,23,14,1.28,BR,1599761643
246,mount gambier,-37.83,140.77,57.2,54,90,12.75,AU,1599761095
247,rio gallegos,-51.62,-69.22,55.4,45,40,6.93,AR,1599761644
248,charleston,32.78,-79.93,90.0,74,40,6.93,US,1599761459
249,cockburn town,21.46,-71.14,84.2,74,40,13.87,TC,1599761064
250,guerrero negro,27.98,-114.06,83.89,47,0,5.03,MX,1599761644
251,cacheu,12.27,-16.17,86.0,74,75,4.7,GW,1599761645
252,forquilhinha,-28.75,-49.47,68.76,81,50,4.65,BR,1599761640
253,flinders,-34.58,150.86,53.01,85,84,1.66,AU,1599761076
254,kristinehamn,59.31,14.11,55.4,71,11,5.82,SE,1599761645
255,belaya gora,68.53,146.42,42.49,75,86,5.41,RU,1599761530
256,te anau,-45.42,167.72,33.98,91,56,2.71,NZ,1599761068
257,victoria,22.29,114.16,84.0,79,100,8.79,HK,1599761007
258,yeniseysk,58.45,92.17,41.67,94,31,1.72,RU,1599761646
259,cidreira,-30.18,-50.21,64.15,80,43,10.51,BR,1599761079
260,urumqi,43.8,87.6,62.6,42,75,6.71,CN,1599761646
261,kaifeng,34.79,114.35,68.0,94,0,9.35,CN,1599761646
262,egvekinot,66.32,-179.17,37.13,89,87,2.28,RU,1599761122
263,madarounfa,13.31,7.16,86.0,79,75,4.7,NE,1599761646
264,nome,64.5,-165.41,48.2,81,90,13.87,US,1599761368
265,oranjestad,12.52,-70.03,87.8,70,75,12.75,AW,1599761647
266,gambo,4.65,22.26,68.65,98,100,2.08,CF,1599761647
267,impfondo,1.64,18.07,73.29,95,99,5.1,CG,1599761647
268,meulaboh,4.14,96.13,75.96,79,100,4.63,ID,1599761623
269,mananara,-16.17,49.77,68.32,88,9,5.84,MG,1599761648
270,popondetta,-8.75,148.25,72.63,91,99,0.96,PG,1599761648
271,san jeronimo,-11.95,-75.28,64.54,28,1,2.48,PE,1599761648
272,charters towers,-20.1,146.27,56.48,88,0,2.98,AU,1599761648
273,vanimo,-2.67,141.3,78.17,82,100,1.77,PG,1599761106
274,taoudenni,22.68,-3.98,104.9,14,68,13.6,ML,1599761649
275,mae hong son,19.3,97.97,74.5,87,96,0.83,TH,1599761649
276,morondava,-20.28,44.28,76.68,72,1,14.18,MG,1599761649
277,wewak,-3.55,143.63,77.76,86,100,9.46,PG,1599761650
278,norheimsund,60.37,6.15,51.01,85,89,2.93,NO,1599761650
279,kahului,20.89,-156.47,78.8,69,40,13.87,US,1599761084
280,half moon bay,37.46,-122.43,64.99,88,75,4.7,US,1599761064
281,safranbolu,41.25,32.69,65.14,73,0,1.19,TR,1599761650
282,buenos aires,-34.61,-58.38,66.99,67,0,6.93,AR,1599761570
283,thinadhoo,0.53,72.93,82.31,75,100,12.93,MV,1599761644
284,moose factory,51.26,-80.61,60.8,51,40,12.75,CA,1599761066
285,viedma,-40.81,-63.0,72.0,44,11,13.0,AR,1599761424
286,hualmay,-11.1,-77.61,66.16,66,47,10.45,PE,1599761651
287,karimganj,24.87,92.35,77.7,95,100,1.99,IN,1599761651
